"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
202,"Bornholms Trafik","https://bat.dk","Europe/Copenhagen","da",""
203,"DSB","http://www.dsb.dk","Europe/Copenhagen","",""
204,"FYNBUS","https://fynbus.dk","Europe/Copenhagen","",""
206,"NT","https://www.nordjyllandstrafikselskab.dk","Europe/Copenhagen","",""
221,"Movia","https://www.moviatrafik.dk","Europe/Copenhagen","",""
266,"Flixbus","https://www.flixbus.dk","Europe/Copenhagen","",""
276,"Rejseplanen","https://www.rejseplanen.dk","Europe/Copenhagen","",""
281,"Midttrafik","https://www.midttrafik.dk","Europe/Copenhagen","",""
291,"Færgen","http://færgen.dk","Europe/Copenhagen","",""
301,"Mols-Linien","http://molslinjen.dk","Europe/Copenhagen","",""
306,"Arriva tog","http://www.mitarriva.dk","Europe/Copenhagen","",""
307,"DSB Øresund","http://dsb.dk","Europe/Copenhagen","",""
316,"Lokaltog A/S","https://www.lokaltog.dk","Europe/Copenhagen","",""
318,"DSB S-tog","https://www.dsb.dk","Europe/Copenhagen","",""
319,"Metroselskabet","https://m.dk","Europe/Copenhagen","",""
320,"Ærøfærgerne","https://aeroe-ferry.dk","Europe/Copenhagen","",""
321,"Johns Turistfart","https://johnsbus.dk","Europe/Copenhagen","",""
326,"Gråhundbus","http://graahundbus.dk","Europe/Copenhagen","",""
331,"Thyborøn-Agger Færgefart","https://svendborg-havn.dk/færger/","Europe/Copenhagen","",""
336,"Sydtrafik","https://www.sydtrafik.dk","Europe/Copenhagen","",""
351,"Scandlines","https://www.scandlines.dk","Europe/Copenhagen","",""
356,"Sporvejsmuseet Skjoldenæsholm","http://sporvejsmuseet.dk","Europe/Copenhagen","",""
381,"Öresundståg","http://dsb.dk","Europe/Copenhagen","",""
386,"Ærø Kommune","https://www.aeroekommune.dk/borger/flyt-til-aeroe/transport/paa-aeroe","Europe/Copenhagen","",""
391,"Samsø Bus","https://samsoebus.dk","Europe/Copenhagen","",""
396,"GoShuttle","https://www.goshuttle.dk","Europe/Copenhagen","",""
401,"Skånetrafiken","https://www.skanetrafiken.se","Europe/Copenhagen","",""
406,"Fanø Kommune","https://www.fanoe.dk/borger/faerge-bus-og-taxa/kollektiv-trafik-bus","Europe/Copenhagen","",""
411,"Rute700","https://www.rute700.dk","Europe/Copenhagen","",""
416,"Svendborg Havn, Færge- og Sundfart","https://www.svendborg-havn.dk/færger-fra-svendborg","Europe/Copenhagen","",""
422,"Færgefarten Orø-Holbæk","http://holbaek.dk/faerge","Europe/Copenhagen","",""
423,"Hundested-Rørvig Færgefart A/S","https://hundested-roervig.dk","Europe/Copenhagen","",""
424,"Grenaa-Anholt Færgefart","https://www.anholtfergen.dk","Europe/Copenhagen","",""
425,"ÆrøXpressen A/S","https://www.aeroexpressen.dk","Europe/Copenhagen","",""
426,"Sejerøbugtens Færger","https://www.kalundborg.dk/borger/Veje_teknin_og_miljø/Sejerøbugtens_Færger.aspx","Europe/Copenhagen","",""
427,"Ø-Færgen","https://oefaergen.fmk.dk","Europe/Copenhagen","",""
428,"Strynø Færgen","https://langelandkommune.dk/borger/havne-trafik-og-veje/strynoe-faergen","Europe/Copenhagen","",""
430,"Samsø Rederi","https://www.tilsamsoe.dk","Europe/Copenhagen","",""
441,"Thinggaard Express","https://www.expressbus.dk","Europe/Copenhagen","",""
456,"Odense Letbane","https://www.odenseletbane.dk","Europe/Copenhagen","",""
