"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20230327,20230621
2,0,0,0,0,0,0,0,20230327,20230621
3,0,0,0,0,0,0,0,20230327,20230621
4,0,0,0,0,0,0,0,20230327,20230621
5,1,1,1,1,1,1,1,20230327,20230621
6,1,0,0,0,1,1,1,20230327,20230621
7,0,0,0,0,0,0,0,20230327,20230621
8,0,0,0,0,1,1,1,20230327,20230621
9,0,0,0,0,0,0,0,20230327,20230621
10,0,0,0,1,1,1,1,20230327,20230621
11,1,1,1,1,1,0,1,20230327,20230621
12,0,0,0,1,1,1,1,20230327,20230621
13,1,1,1,1,0,0,0,20230327,20230621
14,0,0,0,0,0,0,0,20230327,20230621
15,0,0,0,0,0,0,0,20230327,20230621
16,0,0,0,0,0,0,0,20230327,20230621
17,0,0,0,0,0,0,0,20230327,20230621
18,0,0,0,0,0,0,0,20230327,20230621
19,0,0,0,0,0,0,0,20230327,20230621
20,0,0,0,0,0,0,0,20230327,20230621
21,0,0,0,0,0,0,0,20230327,20230621
22,0,0,0,0,0,0,0,20230327,20230621
23,0,0,0,0,0,0,0,20230327,20230621
24,0,0,0,0,0,0,0,20230327,20230621
25,0,0,0,0,0,0,0,20230327,20230621
26,0,0,0,0,0,0,0,20230327,20230621
27,0,0,0,0,0,0,0,20230327,20230621
28,0,0,0,0,0,0,0,20230327,20230621
29,0,0,0,0,0,0,0,20230327,20230621
30,0,0,0,0,0,0,0,20230327,20230621
31,0,0,0,0,0,0,0,20230327,20230621
32,0,0,0,0,0,0,0,20230327,20230621
33,0,0,0,0,0,0,0,20230327,20230621
34,0,0,0,0,0,0,0,20230327,20230621
35,0,0,0,0,0,0,0,20230327,20230621
36,0,0,0,0,0,0,0,20230327,20230621
37,0,0,0,0,0,0,0,20230327,20230621
38,0,0,0,0,0,0,0,20230327,20230621
39,0,0,0,0,0,0,0,20230327,20230621
40,0,0,0,0,0,0,0,20230327,20230621
41,0,0,0,0,0,0,0,20230327,20230621
42,0,0,0,0,0,0,0,20230327,20230621
43,0,0,0,0,0,0,0,20230327,20230621
44,0,0,0,0,0,0,0,20230327,20230621
45,0,0,0,0,0,0,0,20230327,20230621
46,0,0,0,0,0,0,0,20230327,20230621
47,0,0,0,0,0,0,0,20230327,20230621
48,0,0,0,0,0,0,0,20230327,20230621
49,0,0,0,0,0,0,0,20230327,20230621
50,0,0,0,0,0,0,0,20230327,20230621
51,0,0,0,0,0,0,0,20230327,20230621
52,0,0,0,0,0,0,0,20230327,20230621
53,0,0,0,0,0,0,0,20230327,20230621
54,0,0,0,0,0,0,0,20230327,20230621
55,0,0,0,0,0,0,0,20230327,20230621
56,0,0,0,0,0,0,0,20230327,20230621
57,0,0,0,0,0,0,0,20230327,20230621
58,0,0,0,0,0,0,0,20230327,20230621
59,0,0,0,0,0,0,0,20230327,20230621
60,0,0,0,0,0,0,0,20230327,20230621
61,0,0,0,0,0,0,0,20230327,20230621
62,0,0,0,0,0,0,0,20230327,20230621
63,0,0,0,0,0,0,0,20230327,20230621
64,0,0,0,0,0,0,0,20230327,20230621
65,0,0,0,0,0,0,0,20230327,20230621
66,0,0,0,0,0,0,0,20230327,20230621
67,0,0,0,0,0,0,0,20230327,20230621
68,0,0,0,0,0,0,0,20230327,20230621
69,0,0,0,0,0,0,0,20230327,20230621
70,0,0,0,0,0,0,0,20230327,20230621
71,0,0,0,0,0,0,0,20230327,20230621
72,0,0,0,0,0,0,0,20230327,20230621
73,0,0,0,0,0,0,0,20230327,20230621
74,0,0,0,0,0,0,0,20230327,20230621
75,0,0,0,0,0,0,0,20230327,20230621
76,0,0,0,0,0,0,0,20230327,20230621
77,0,0,0,0,0,0,0,20230327,20230621
78,0,0,0,0,0,0,0,20230327,20230621
79,0,0,0,0,0,0,0,20230327,20230621
80,0,0,0,0,0,0,0,20230327,20230621
81,0,0,0,0,0,0,0,20230327,20230621
82,0,0,0,0,0,0,0,20230327,20230621
83,0,0,0,0,0,0,0,20230327,20230621
84,0,0,0,0,0,0,0,20230327,20230621
85,0,0,0,0,0,0,0,20230327,20230621
86,0,0,0,0,0,0,0,20230327,20230621
87,0,0,0,0,0,0,0,20230327,20230621
88,0,0,0,0,0,0,0,20230327,20230621
89,0,0,0,0,0,0,0,20230327,20230621
90,0,0,0,0,0,0,0,20230327,20230621
91,0,0,0,0,0,0,0,20230327,20230621
92,0,0,0,0,0,0,0,20230327,20230621
93,0,0,0,0,0,0,0,20230327,20230621
94,0,0,0,0,0,0,0,20230327,20230621
95,0,0,0,0,0,0,0,20230327,20230621
96,0,0,0,0,0,0,0,20230327,20230621
97,0,0,0,0,0,0,0,20230327,20230621
98,0,0,0,0,0,0,0,20230327,20230621
