"service_id","date","exception_type"
1,20230403,2
1,20230410,2
1,20230424,2
1,20230404,2
1,20230425,2
1,20230405,2
1,20230426,2
1,20230406,2
1,20230427,2
1,20230518,2
1,20230407,2
1,20230421,2
1,20230428,2
1,20230505,2
1,20230519,2
2,20230502,1
2,20230503,1
2,20230504,1
2,20230505,1
2,20230506,1
2,20230507,1
3,20230502,1
3,20230503,1
3,20230504,1
4,20230504,1
4,20230505,1
4,20230506,1
6,20230327,2
6,20230417,2
6,20230424,2
6,20230501,2
6,20230515,2
6,20230605,2
6,20230404,1
6,20230530,1
6,20230613,1
6,20230620,1
6,20230517,1
6,20230614,1
6,20230621,1
6,20230406,1
6,20230504,1
6,20230518,1
6,20230615,1
6,20230407,2
6,20230414,2
6,20230421,2
6,20230428,2
6,20230519,2
6,20230616,2
6,20230415,2
6,20230422,2
6,20230429,2
6,20230506,2
6,20230513,2
6,20230520,2
6,20230409,2
6,20230416,2
6,20230423,2
6,20230430,2
6,20230514,2
6,20230528,2
7,20230618,1
8,20230410,1
8,20230529,1
8,20230619,1
8,20230405,1
8,20230517,1
8,20230614,1
8,20230406,1
8,20230504,1
8,20230518,1
8,20230615,1
8,20230331,2
8,20230414,2
8,20230421,2
8,20230428,2
8,20230519,2
8,20230616,2
8,20230415,2
8,20230422,2
8,20230429,2
8,20230506,2
8,20230513,2
8,20230416,2
8,20230423,2
9,20230508,1
9,20230522,1
9,20230612,1
9,20230404,1
9,20230530,1
9,20230613,1
9,20230620,1
9,20230405,1
9,20230621,1
10,20230410,1
10,20230529,1
10,20230619,1

